topic,name,address,phone,website,description
Children's Services and Programs,Cadence Academy Preschool,900 Kennedy Drive Pekin,309-346-1147,https://www.cadence-education.com/locations/il/pekin/,"Ages 6 weeks to 5 years, Monday–Friday 6:30am–5:30pm."
Children's Services and Programs,Dolly Parton's Imagination Library,,,https://imaginationlibrary.com/,"Free monthly book for children aged 5 and under in eligible counties including Tazewell; register online."
Children's Services and Programs,Head Start Pekin Center,"Lighthouse Church of God, 1010 El Camino Drive Pekin",309-347-1971,https://twhsp.org/,"Ages 3–5 during school year; income and eligibility requirements apply."
Children's Services and Programs,King's Kids Christian Learning Center,1209 Parkway Drive Pekin,309-347-7177,https://kingskidschristianlearningcenter.com/,"Ages 6 weeks to 3rd grade, Monday–Friday 6:30am–5:30pm."
Children's Services and Programs,Pekin Preschool Family Education Center,1000 Koch Street Pekin,309-477-4730,https://www.pekin.net/o/pfec,"Free part-day preschool for ages 3–4 within Pekin District 108; enrollment based on eligibility and screening."
Children's Services and Programs,YWCA of Pekin Daycare Center,315 Buena Vista Ave Pekin,309-347-2104 ext. 4028,https://ywcapekin.org/ywca-of-pekin-early-learning-center/,"Ages 6 weeks to 5 years, Monday–Friday 6:30am–5:30pm."
Children's Services and Programs,Whiz Kidz Academy,1605 Florence Ave Pekin,309-347-5121,https://www.mywhizkidz.com/,"Ages 6 weeks to 12 years, Monday–Friday 7:00am–5:00pm."
Children's Services and Programs,CASA of the 10th Judicial Court,33 S 4th St Pekin,309-669-2939,https://www.casaofthetenth.org/,"Trains and supervises volunteers to advocate for children in abuse/neglect cases or involved with DCFS in Peoria, Tazewell, and surrounding counties."
Children's Services and Programs,Center for Prevention of Abuse,720 W Joan Ct Peoria,1-800-559-SAFE (Crisis Hotline),https://www.centerforpreventionofabuse.org/,"Free, confidential services for domestic violence, sexual assault, human trafficking; 24/7 crisis intervention, legal advocacy, counseling, and children's programs."
Children's Services and Programs,Crittenton Centers,442 W John H Gwynn Jr Ave Peoria,309-674-4125,https://crittentoncenters.org/,"24/7 emergency child care (Crisis Nursery), early childhood development, family education and support services."
Children's Services and Programs,Tazewell County Children's Advocacy Center,341 Buena Vista Ave Pekin,309-347-6001,https://www.tazewellcac.org/,"Support for child abuse victims; forensic interviews, crisis counseling, case management, medical referrals, legal advocacy, and school prevention education."
Children's Services and Programs,Center for Youth and Family Solutions,2610 W Richwoods Blvd Peoria,309-323-6600,https://www.cyfsolutions.org/,"Intact family intervention, pregnancy counseling, mental health services, residential youth programs, fostering/adoption, senior friendly visitor program."
Children's Services and Programs,Children's Home Association of Illinois,2130 Knoxville Ave Peoria,309-685-1047,https://chail.org/,"Residential care, foster care, transitional living, specialized schools, behavioral health services, crisis intervention, and early childhood education."
Children's Services and Programs,Family Core,330 SW Washington St Peoria,309-676-2400,https://www.familycore.org,"Licensed counseling, adoption/foster care, single parent support, youth outreach including after-school programs and anger management workshops."
Clothing & Personal Items,The Blessing Room,250 Derby St Pekin,,https://newlifepekin.com/services,"Free clothing for all ages and sizes, plus small household items; Mon–Fri 11:00am–2:00pm."
Clothing & Personal Items,Enough Stuff Free Thrift Store Community,422 E Washington St Suite 100 E Peoria,309-868-2684,https://www.enoughstuffclub.com/,Free thrift store offering clothing to anyone in need.
Clothing & Personal Items,Dragon's Closet,1903 Court Street Pekin,309-347-4101,,"Clothing, hygiene supplies, and food for Pekin Community High School students; parents/guardians may call school for assistance."
Clothing & Personal Items,Pentecostal Lighthouse, 1112 N 16th Street Pekin,309-230-5791,,"Household items and toiletries on the 2nd and 4th Saturdays 11am to 1pm."
Clothing & Personal Items,The Care To Share Closet,1800 Broadway Street Pekin,309-929-0294,,"Give-and-receive closet for new and gently used children's items; open to all community members."
Clothing & Personal Items,The Share Closet,227 Sampson Street Tremont,309-929-7095,https://www.northfieldchristian.org/demonstrate/share-closet,"Free medical supplies and other items; ""Closet Cash"" for free household goods shopping may be available upon request."
Counseling & Treatment,Bridgeway,2077 Edgewater Drive North Pekin,309-344-2323,https://www.bway.org,"Support for individuals with disabilities including community living, employment assistance, mental health, substance use treatment, crisis response, and youth empowerment."
Counseling & Treatment,Center for Prevention of Abuse,720 W Joan Ct Peoria,309-691-0551,https://www.centerforpreventionofabuse.org/,"Free, confidential services for domestic violence, sexual assault, trafficking, elder abuse; 24/7 crisis intervention, shelter, legal advocacy, counseling, and Pet Peace Program."
Counseling & Treatment,Center for Youth and Family Solutions,2610 W Richwoods Blvd Peoria,309-323-6600,https://www.cyfsolutions.org/,"Intact family intervention, pregnancy counseling, mental health services, fostering/adoption, and senior friendly visitor program."
Counseling & Treatment,Family Core,330 SW Washington St Peoria,309-676-2400,https://www.familycore.org,"Licensed counseling, adoption/foster care, single parent programs, youth outreach, after-school/summer programs, respite care, and anger management."
Counseling & Treatment,Gateway Foundation,4810 N Sheridan Rd Peoria,309-470-0200 / 844-492-0884,https://www.gatewayfoundation.org/locations/peoria/,"Substance use disorder and co-occurring treatment programs; mental health services including individual therapy and medication management."
Counseling & Treatment,Heartland Health Services,2214 N University St Peoria,309-353-3330,https://hhsil.com/,"Primary care, women's health, pediatrics, mental health, addiction recovery, specialty services, discount prescriptions, and after-hours care."
Counseling & Treatment,Tazewell County Children's Advocacy Center,341 Buena Vista Ave Pekin,309-347-6001,https://www.tazewellcac.org/,"Child abuse support; forensic interviews, crisis counseling, case management, medical referrals, legal advocacy, and prevention education."
Counseling & Treatment,TCRC Inc Behavioral Health Services for Adults,,309-347-7148,,
Counseling & Treatment,Trillium Place Crisis Services (ERS),Tazewell/Woodford,309-347-1148,https://trilliumplacehealth.org/,Quick response unit for severe mental health or addiction crises.
Counseling & Treatment,Trillium Place Pekin,"3248 Vanderver Ave Suite A, Pekin",309-347-5522,https://trilliumplacehealth.org/,"Addiction recovery, mental health, and DUI services."
Crime: Victim Assistance,Center for Prevention of Abuse,720 W Joan Ct Peoria,309-691-0551,https://www.centerforpreventionofabuse.org/,"Free, confidential services for domestic violence, sexual assault, trafficking, elder abuse; 24/7 crisis intervention, shelter, legal advocacy, counseling, and Pet Peace Program."
Crime: Victim Assistance,Carol House of Hope (Domestic Violence Home),Undisclosed Location Pekin,1-800-559-7233,https://www.centerforpreventionofabuse.org/,"Emergency shelter and support for individuals and families affected by domestic violence."
Crime: Victim Assistance,Prairie State Legal Services,101 SW Adams St Suite 800 Peoria,309-674-8931,https://pslegal.org/,Free legal assistance for eligible clients obtaining orders of protection in abuse cases.
Crime: Victim Assistance,Tazewell County Children's Advocacy Center,341 Buena Vista Ave Pekin,309-347-6001,https://www.tazewellcac.org/,"Child abuse support; forensic interviews, crisis counseling, case management, medical referrals, legal advocacy, and prevention education."
Disability Services,Advocates for Access,"4450 N Prospect Rd Suite C8, Peoria Heights",309-682-3500,https://advocatesforaccess.com/,"Advocacy, peer support, skills training, transition services, and referral resources for people with disabilities."
Disability Services,Almost Home Kids OSF,5200 N Hamilton Road Peoria,309-573-0700,https://www.almosthomekids.org/,"Community-based care bridging hospital to home for children with health conditions; caregiver training, family support, respite care, and accessibility advocacy."
Disability Services,Best Buddies in Central IL,"7800 N Sommer Street Suite 412, Peoria",309-531-7700,https://www.bestbuddies.org/illinois/,"One-to-one friendship, integrated employment, and leadership development for individuals with and without intellectual and developmental disabilities."
Disability Services,Bridgeway,2077 Edgewater Drive North Pekin,309-344-2323,https://www.bway.org,"Community living, employment assistance, mental health/substance use treatment, crisis response, and youth empowerment for individuals with disabilities."
Disability Services,Central Illinois Service Access,101 Madigan Drive Lincoln,217-732-4731,https://www.cisagroup.org/,"Advocacy and support services for individuals with disabilities, covering Tazewell County."
Disability Services,Easterseals of Central IL,507 E Armstrong Ave Peoria,309-686-1177,https://ci.easterseals.com/,"Therapies (physical, occupational, speech, feeding), autism support, early intervention, inclusive education, and recreational programs for children with disabilities."
Disability Services,EP!C,1913 W Townline Peoria,309-691-3800,https://epicci.org/,"Community living, job placement, vocational training, life skills, healthcare, group homes, independent living, behavioral support, and adaptive technology for individuals with IDD."
Disability Services,Illinois Department of Human Services,200 S 2nd St Suite 20 Pekin,309-347-4184,https://www.dhs.state.il.us/page.aspx?,"Medicaid, SNAP, TANF, housing assistance, and child care assistance."
Disability Services,Illinois River Valley Special Recreation Association (IRVSRA),"1715 Dragon Dr Suite B, Pekin",309-201-4005,https://www.irvsra.org/,Sports and recreational center for individuals with disabilities.
Disability Services,Illinois Department of Human Services,211 Fulton St Suite 207 Peoria,309-660-9086,https://www.dhs.state.il.us/page.aspx?,"Vocational rehabilitation, Home Services Program, and independent living support for individuals with disabilities."
Disability Services,Social Security Administration,2801 Broadway St Pekin,877-405-0499,https://www.ssa.gov/,"Social security programs: retirement, disability, and survivor benefits."
Disability Services,Tazwood Community Services,610 Park Ave Pekin,309-266-9941,https://www.tazwoodcs.org/,"Administers LIHEAP, emergency furnaces, PIPP, Warm Neighbors Cool Friends, weatherization, and Community Service Block Grants for low-income households."
Disability Services,Tazewell County Resource Centers (TCRC),33 S 4th St Pekin,309-347-7148,https://tcrcorg.com/,"Job training/placement, therapy, case management, community day services, visually impaired support, vocational services, and residential programs for individuals with developmental disabilities."
Disability Services,The Autism Collective,507 E Armstrong Ave Peoria,844-910-0770,,"Collaboration of Easterseals Central Illinois and OSF HealthCare Children's Hospital; connects families and experts to support those living with autism."
Disposal Sites (Medication & Sharps),Creve Coeur Police Department,105 N Thorncrest Ave Creve Coeur,309-699-6714,https://www.villageofcc.com/creve-coeur-pd,
Disposal Sites (Medication & Sharps),East Peoria Police Department,2236 E Washington St East Peoria,309-698-4700,https://www.cityofeastpeoria.com/295/Police-Department,
Disposal Sites (Medication & Sharps),Green Valley Village Hall,109 E Main St Green Valley,309-352-2111,,
Disposal Sites (Medication & Sharps),Hopedale Village Office,101 SE Main St Hopedale,309-449-3353,https://villageofhopedale.com/,
Disposal Sites (Medication & Sharps),Minier Village Office,110 W Central Minier,309-392-2442,https://www.minier.com/,
Disposal Sites (Medication & Sharps),Morton Fire Department (Station 1),300 W Courtland St Morton,309-266-7390,https://www.morton-il.gov/government/department-offices/morton-fire-paramedic-department/,
Disposal Sites (Medication & Sharps),Morton Police Department,375 W Birchwood St Morton,309-266-6666,https://www.morton-il.gov/government/department-offices/police/,
Disposal Sites (Medication & Sharps),Tazewell County Health Department Pekin,1800 Broadway St Pekin,309-929-0294,https://tazewellhealth.org/,
Disposal Sites (Medication & Sharps),Tazewell County Health Department Tremont,21306 Illinois Route 9,309-925-5511,https://tazewellhealth.org/,
Disposal Sites (Medication & Sharps),United Way of Pekin,206 N Fourt St Pekin,309-346-2433,www.unitedwayofpekin.org,"Located in front of the building on fourth street, note that Fourth Street is a one way."
Disposal Sites (Medication & Sharps),Washington Police Department,200 N Wilmor Rd Washington,309-444-2313,,
Financial Education,METEC Resource Center,2605 West Krause Ave Peoria,309-676-3832,https://metechrc.org/,"Budget counseling money managemeent, free tax preparation services, IDHA grant housing counselors."
Financial Education,METEC Resource Center,206 N 4th Street Pekin,309-346-2433,,"Located in the United Way of Pekin offices, by appointment only."
Financial Education,United Way of Pekin HAND Project,206 N 4th Street Pekin,309-346-2433,https://www.unitedwayofpekin.org/hand-project,"Free job skills and personal finance courses for area teens; Contact our office to see when the next course is scheduled."
Food Pantries,City Church,335 Sabella Street Pekin,,https://www.pekincitychurch.org/calendar,"Hot meal and showers on the First Tuesday of the month, 5:00pm–7:00pm; Food pantry available 2nd and 4th Sunday from 12-12:30."
Food Pantries,Dragon's Closet,1903 Court Street Pekin,309-347-4101,,"Clothing, hygiene supplies, and food for Pekin Community High School students."
Food Pantries,First Baptist Pekin,700 S Capitol Street Pekin,309-347-5965,https://www.fbcpekin.com/,"Tuesdays 9:30am–11:00am; limit 2x per month, by appointment only."
Food Pantries,First Church of God,2520 Maywood Avenue Pekin,,https://www.pekinfirstchurchofgod.com/events/,"Thursdays 1:00pm–2:00pm; valid ID required."
Food Pantries,Grace Baptist Church,20231 IL-9 Pekin,,https://www.experiencegrace.church/calendar,"Second Tuesday of the month, 5:00pm–6:00pm."
Food Pantries,Grace United Methodist Church,601 N 4th Street Pekin,,https://pekingrace.com/calendar/,"Second and last Saturday of each month, 11:00am–12:00pm."
Food Pantries,Liberty Baptist Church,2105 Sheridan Road Pekin,,https://lbcpekin.org/,"Thursdays 9:45am–11:45am."
Food Pantries,Pekin Township,420 Elizabeth Street Pekin,,"","Wednesdays; ID required. June–August: 8:00am–10:00am; September–May: 9:00am–11:00am."
Food Pantries,Salvation Army of Pekin,243 Derby Street Pekin,309-346-3010,https://centralusa.salvationarmy.org/360lifecenters/pekin/,"Tuesdays and Thursdays 9:00am–12:00pm; proof of address required; once every 30 days; appointments preferred."
Food Pantries,St. Paul's United Church of Christ,101 N 8th Street Pekin,309-347-5196,https://www.stpauluccpekin.org/community-outreach.html,"3rd Thursday of each month at 4:30pm or by appointment for emergent needs."
Food Pantries,St. Vincent DePaul,620 St. Joseph Place Pekin,,https://www.svdpsocietypeoria.org/food-pantries,"Monday, Wednesday, and Fridays 8:30am–11:00am; valid ID required; once per month."
Food Pantries,The Blessing Room,250 Derby Street Pekin,,https://newlifepekin.com/services,"3rd Saturday of each month beginning at 10:30am."
Food Pantries,The Hope Chest/Cupboard,1416 N 8th St Pekin,309-620-9043,https://www.thehopechestil.com/#,"Tuesdays 10am–1pm and Thursdays 1–3:30pm; one visit per month; valid ID required. Pet food available when in stock; emergency food bags on non-pantry days."
Food Pantries,The Share Closet,227 S Sampson St Tremont,309-929-7095,https://www.northfieldchristian.org/demonstrate/share-closet,"Tuesdays 3–7pm, Wednesday–Friday 10am–4pm, Saturdays 10am–1pm."
Fostering or Adoption,Center for Youth and Family Solutions,2610 W Richwoods Blvd Peoria,309-323-6600,https://www.cyfsolutions.org/,"Intact family intervention, pregnancy counseling, mental health services, fostering and adoption, and senior friendly visitor program."
Fostering or Adoption,Children's Home Association of Illinois,2130 Knoxville Ave Peoria,309-685-1047,https://chail.org/,"Residential care, foster care, transitional living, specialized schools, behavioral health, crisis intervention, and early childhood education."
Fostering or Adoption,Family Core,330 SW Washington St Peoria,309-676-2400,https://www.familycore.org,"Adoption and foster care programs; also supports single parents with free communication and self-care programs."
Fostering or Adoption,Lutheran Social Services of Illinois,3000 W Rohmann Ave Peoria,309-671-0300,https://www.lssi.org/,"Intact family services, foster care, adoption, and child protective services."
Free Naloxone (Narcan) Sites,Tazewell County Health Department,1800 Broadway St Pekin,,,Free Naloxone (Narcan) distribution site.
Free Naloxone (Narcan) Sites,Tazewell County Health Department,21306 IL-9 Tremont,,,Free Naloxone (Narcan) distribution site.
Free Naloxone (Narcan) Sites,Creve Coeur Police Department,105 N Thorncrest Ave Creve Coeur,,,Free Naloxone (Narcan) 24/7 Access.
Free Naloxone (Narcan) Sites,JOLT Harm Reduction,,309-966-3643,https://joltfoundation.org/,Free Naloxone (Narcan) distribution; call for details.
Free Naloxone (Narcan) Sites,Morton Chamber of Commerce,415 W Jefferson St Morton,309-263-2491,https://www.mortonchamber.org/,
Free Naloxone (Narcan) Sites,Morton Police Department,375 W Birchwood St Morton,309-266-6666,https://www.morton-il.gov/government/department-offices/police/,
Free Naloxone (Narcan) Sites,Morton Fire Department,300 W Courtland St Morton,309-266-7390,https://www.morton-il.gov/government/department-offices/morton-fire-paramedic-department/,
Free Naloxone (Narcan) Sites,Smokers Outlet,2309 Washington Rd Washington,309-745-3281,,
Free Naloxone (Narcan) Sites,Tazewell County Justice Center,101 S Capitol St Pekin,,,Free Naloxone (Narcan) distribution site.
Free Naloxone (Narcan) Sites,Tara Beeney Blessing Room,515 S. 3rd St Pekin,,https://www.facebook.com/groups/649963876967201/, "Free Naloxone (Narcan) distribution."
Free Naloxone (Narcan) Sites,Tremont Liquor & Smokehouse,104 N Harris St Unit B Tremont,,,Free Naloxone (Narcan) distribution site.
Free Naloxone (Narcan) Sites,YWCA of Pekin,315 Buena Vista Ave Pekin,,,"Free Naloxone (Narcan) distribution site."
Free Naloxone (Narcan) Sites,Washington Police Department,115 W Jefferson St,309-444-2313,,"Free Naloxone (Narcan) 24/7."
Healthcare,Córdoba Healthcare Clinic,2127 SW Jefferson Avenue Peoria,309-340-8165,https://cordobahc.org/,"Low-cost basic medical care with professional and volunteer staff; free care for uninsured or underinsured individuals."
Healthcare,Heartland Health Services,2214 N University St Peoria,309-353-3330,https://hhsil.com/,"Federally Qualified Health Center; primary care, women's health, pediatrics, mental health, addiction recovery, specialty services, discount prescriptions, and after-hours care."
Healthcare,Planned Parenthood,2709 Knoxville Ave Peoria,309-681-0350,https://www.plannedparenthood.org/health-center/illinois/peoria/61604/peoria-health-center-3281-90430,"Sexual and reproductive health services; birth control, STI testing, pregnancy testing, wellness exams, HPV/hepatitis vaccinations, and gender-affirming hormone therapy."
Healthcare,Pregnancy Resource Center,3223 Griffin Ave Pekin,309-620-9227,https://www.pregnancyresourcecenter.org/locations/tazewell-county,"Pregnancy testing, ultrasound, STI/STD testing; open Tuesday–Thursday at 9:00am."
Healthcare,LifeLine Pilots,"4507 N Sterling Ave Suite 402, Peoria",800-822-7972,https://lifelinepilots.org/,"Free coordinated air transportation via volunteer pilots for passengers with medical or humanitarian needs far from home."
Healthcare,YWCA of Pekin,315 Buena Vista Ave Pekin,309-347-2104,https://ywcapekin.org/,"Land and aquatic fitness classes, adult education, childcare facilities, and other programs."
Healthcare,Tazewell County Health Department,1800 Broadway St Pekin,309-929-0294,https://www.tazewellhealth.org/,"Immunizations, health screenings, WIC nutrition support, environmental health, STI testing, COVID-19 vaccinations, and pregnancy-related services."
Healthcare,National Suicide and Crisis Hotline,,988,,"24/7 crisis support hotline for suicide and mental health emergencies."
Healthcare,Center for Prevention of Abuse,720 W Joan Ct Peoria,1-800-559-SAFE,https://www.centerforpreventionofabuse.org/,"Free, confidential services for domestic violence, sexual assault, trafficking, elder abuse; 24/7 crisis intervention, shelter, legal advocacy, and children's programs."
Healthcare,Tazewell County Children's Advocacy Center,341 Buena Vista Ave Pekin,309-347-6001,https://www.tazewellcac.org/,"Child abuse support; forensic interviews, crisis counseling, case management, and legal advocacy."
Healthcare,Trillium Place Crisis Services (ERS),Tazewell/Woodford,309-347-1148,https://trilliumplacehealth.org/,Quick response unit for severe mental health or addiction crises.
Healthcare,Trillium Place Pekin,"3248 Vanderver Ave Suite A, Pekin",309-347-5522,https://trilliumplacehealth.org/,"Addiction recovery, mental health, and DUI services."
Housing & Shelter,Carol House of Hope (Domestic Violence),Undisclosed Location Pekin,1-800-559-7233,https://www.centerforpreventionofabuse.org/,"Emergency shelter and support for individuals and families affected by domestic violence."
Housing & Shelter,Pekin Housing Authority,1901 Broadway St Pekin,309-346-7996,https://www.pekinhousingauthority.com/,Income-based housing and housing assistance.
Housing & Shelter,Pekin Outreach Initiative,243 Derby Street Pekin,309-200-0307,https://pekinoutreachinitiative.com/,"Day shelter for individuals experiencing homelessness; meals, showers, laundry, job/life assistance, weekend Snack Pack Program for children, and toiletry distribution."
Housing & Shelter,Salvation Army of Pekin,243 Derby St Pekin,309-346-3010,https://centralusa.salvationarmy.org/360lifecenters/pekin/,"Food pantry, overnight shelter, housing support, utility/rental/mortgage emergency financial assistance, and holiday giving programs."
Housing & Shelter,UAW Senior Citizens Center,444 S Parkway Dr Pekin,309-347-7791,,"Senior citizen center and housing."
Housing & Shelter,Phoenix Community Development,234 NE Madison Ave Peoria,309-674-7310,https://phoenixcds.org/services/path-program/,"PATH Program: outreach and support for individuals who are homeless or at risk, have serious mental illness, in Peoria, Tazewell, Woodford, and Fulton counties."
Senior Services,24 Hour Adult Services Hotline,,866-800-1409,,
Senior Services,Center for Prevention of Abuse (Adult Protective Services),,309-637-3905 / 866-800-1409,https://www.centerforpreventionofabuse.org/,Adult protective services available to individuals of all ages and backgrounds.
Senior Services,Central Illinois Agency on Aging Inc,700 Hamilton Blvd Peoria,309-674-3639,https://ciaoa.net/,"Services for older persons and caregivers: adult protective services, legal, long-term care ombudsman, medication management, nutrition education, outreach, and more."
Senior Services,Illinois Department of Human Services,200 S 2nd St Suite 20 Pekin,309-347-4184,https://www.dhs.state.il.us/page.aspx?,"Medicaid, SNAP, TANF, housing assistance, and child care assistance."
Senior Services,Miller Senior Center,551 S 14th Street Pekin,309-346-5210,https://www.pekinparkdistrict.org/facilities/miller-center/,"Programs and activities for adults 50+; fitness, arts/crafts, games, workshops, social events, and transportation to medical appointments."
Senior Services,Social Security Administration,2801 Broadway St Pekin,877-405-0499,https://www.ssa.gov/,"Social security programs: retirement, disability, and survivor benefits."
Senior Services,We Care TCRC,33 S 4th St Pekin,309-263-7708,https://wecareofmorton.com/,"Services to maintain independence for seniors and individuals with disabilities in Morton and rural Tazewell County; call 48 hours in advance."
Senior Services,Nursing Home Complaint Hotline,,800-252-4343,https://ilaging.illinois.gov/programs/ltcombudsman/ombuds-reporting.html,"IL Department of Public Health long-term care ombudsman program for reporting and resolving nursing home/care facility issues."
Technology Resources,Miller Senior Center,551 S 14th Street Pekin,309-346-5210,https://www.pekinparkdistrict.org/facilities/miller-center/,"Computer lab M–F 9:00am–3:30pm; digital literacy classes offered at various times."
Technology Resources,Pekin Public Library,301 S 4th St Pekin,309-347-7111,https://pekinpubliclibrary.org/,"Free Wi-Fi, computer labs, printing, notary services, passport services, test proctoring, telehealth computers (upon request), and resume builder; library card required."
Transportation,City Link Benefits Access Program,"407 SW Adams St Peoria, 2nd Floor",309-323-6600,https://www.ridecitylink.org/,"Complimentary bus ride program for seniors and individuals with disabilities; $1.00 ID registration fee; Tuesdays–Thursdays 9am–12pm and 1–4pm."
Transportation,We Care TCRC,33 S 4th St Pekin,309-263-7708,https://wecareofmorton.com/,"Transportation for seniors and individuals with disabilities in Morton and rural Tazewell County; call 48 hours in advance."
Transportation,Miller Senior Center,551 S 14th Street Pekin,309-346-5210,https://www.pekinparkdistrict.org/facilities/miller-center/,Transportation services for local residents to access medical appointments and community events.
Veteran Resources,American Legion Post #44,718 Court St Pekin,309-346-6483,https://www.legion.org/,Veteran service and support organization.
Veteran Resources,AMVETS Post #169,660 Radio City Dr Pekin,309-382-9129,https://www.facebook.com/northpekin.amvetsriders/,"Veteran service organization; enhances and safeguards entitlements for veterans, improves quality of life for veterans, families, and communities."
